,Invoice No,Line Item,Month,Order Date,Order Type,Material,Mat. Grp Desc,Batch No,Base UoM,Qty in Sales Unit,Sales Unit,Sales Qty,Frieght Charged,Freight Incurred,Interest,Net Value /KL (NET_VAL_KL),Packing Cost /KL,Total Packing Cost,RM Cost /KL,Total RM Cost,Total Variable Cost,Total Value,NET_CONT_KL,DENSITY,Sales District,Region,REG_DESC,Payer,Customer,Employee,Sales manager,Industry Code,Customer Grp,Industry Desc,MATKL,Mat Grp1 Text,Mat Grp 2 Text,City,Doc Curr,Plant,Plant Desc,CGST,SGST,UGST,IGST,Commission_N,Basic Sale Price,Credit Days,Discount,Revenue,hierarchical_cluster
0,9501684612,10,1,2024-01-03,0,33,19,1,0,85.0,2,17.765,0.0,0.0,0.0,73076.55,8923.45,158525.09,72513.44,1288201.26,72513.44,1298204.91,563.11,0.826,6,13,5,66,54,17,8,8,54,9,0,0,14,143,0,1010,0,131105.7,131105.7,0.0,0.0,0,82000.0,0,0,1456730.0,4
2,9501684614,10,1,2024-01-03,0,33,19,1,0,85.0,2,17.765,0.0,0.0,0.0,73076.55,8923.45,158525.09,72513.44,1288201.26,72513.44,1298204.91,563.11,0.826,6,13,5,66,54,17,8,8,54,9,0,0,14,143,0,1010,0,131105.7,131105.7,0.0,0.0,0,82000.0,0,0,1456730.0,4
7,9501684632,10,1,2024-01-04,0,17,20,1,0,100.0,2,2.6,0.0,3253.41,3596.58,71131.19,14615.4,38000.04,70856.26,184226.28,74452.84,184941.09,-3321.65,0.826,4,1,0,103,95,6,12,7,181,8,0,0,14,175,0,1010,0,0.0,0.0,0.0,41652.0,0,89000.0,100,0,231400.0,4
8,9501684632,20,1,2024-01-04,0,27,26,2,0,50.0,2,10.45,0.0,3253.41,3697.6,79323.15,8923.44,93249.95,70839.0,740267.55,74536.6,828926.92,4786.55,0.826,4,1,0,103,95,6,12,7,181,8,0,0,17,175,0,1010,0,0.0,0.0,0.0,172111.5,0,91500.0,100,0,956174.9999999999,4
77,9501684948,10,1,2024-01-13,0,33,19,1,0,80.0,2,16.72,0.0,0.0,1365.89,75576.55,8923.45,149200.08,72513.44,1212424.72,73879.33,1263639.92,1697.22,0.826,0,25,7,45,41,0,4,0,42,0,0,0,14,105,0,1010,0,0.0,0.0,0.0,254311.2,0,84500.0,40,0,1412840.0,4
196,9501685514,10,0,2024-02-03,0,33,19,9,0,48.0,2,10.032,3000.0,4186.6,2717.02,92870.35,8923.45,89520.05,72795.16,730281.05,75512.18,931675.35,17358.17,0.824,6,13,5,167,148,18,13,10,160,4,0,0,14,124,0,1010,0,95687.58,95687.58,0.0,0.0,0,102980.4,65,0,1033099.3727999999,4
197,9501685518,10,0,2024-02-03,0,33,19,9,0,96.0,2,20.064,3000.0,3040.27,2717.02,94016.68,8923.45,179040.1,72795.16,1460562.09,75512.18,1886350.67,18504.5,0.824,6,13,5,167,148,18,13,10,160,4,0,0,14,124,0,1010,0,191375.17,191375.17,0.0,0.0,0,102980.4,65,0,2066198.7455999998,4
273,9501685898,10,0,2024-02-16,0,33,19,9,0,96.0,2,20.064,0.0,0.0,1365.89,75576.55,8923.45,179040.1,72795.16,1460562.09,74161.05,1516367.9,1415.5,0.824,0,25,7,45,41,0,4,0,42,0,0,0,14,105,0,1010,0,0.0,0.0,0.0,305173.44,0,84500.0,40,0,1695408.0,4
285,9501685961,10,0,2024-02-19,0,33,19,25,0,110.0,2,22.99,0.0,0.0,6681.14,74530.65,8969.35,206205.36,68964.0,1585482.36,75645.14,1713459.64,-1114.49,0.829,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,172769.85,172769.85,0.0,0.0,0,83500.0,198,0,1919664.9999999998,4
286,9501685965,10,0,2024-02-19,0,33,19,25,0,110.0,2,22.99,0.0,0.0,6681.14,74530.65,8969.35,206205.36,68964.0,1585482.36,75645.14,1713459.64,-1114.49,0.829,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,172769.85,172769.85,0.0,0.0,0,83500.0,198,0,1919664.9999999998,4
