,Invoice No,Line Item,Month,Order Date,Order Type,Material,Mat. Grp Desc,Batch No,Base UoM,Qty in Sales Unit,Sales Unit,Sales Qty,Frieght Charged,Freight Incurred,Interest,Net Value /KL (NET_VAL_KL),Packing Cost /KL,Total Packing Cost,RM Cost /KL,Total RM Cost,Total Variable Cost,Total Value,NET_CONT_KL,DENSITY,Sales District,Region,REG_DESC,Payer,Customer,Employee,Sales manager,Industry Code,Customer Grp,Industry Desc,MATKL,Mat Grp1 Text,Mat Grp 2 Text,City,Doc Curr,Plant,Plant Desc,CGST,SGST,UGST,IGST,Commission_N,Basic Sale Price,Credit Days,Discount,Revenue,hierarchical_cluster
3,9501684619,10,1,2024-01-04,0,12,21,1,0,24.952,0,24.952,0.0,1506.49,2582.26,69493.51,0.0,0.0,70856.26,1768005.4,73438.52,1734002.06,-3945.01,0.826,5,13,5,201,189,11,10,7,183,8,0,0,14,193,0,1010,0,159443.28,159443.28,0.0,0.0,0,71000.0,90,0,1771592.0000000002,2
12,9501684643,10,1,2024-01-04,0,12,21,1,0,11.949,0,11.949,0.0,1483.81,2881.1,72016.19,0.0,0.0,70856.26,846661.45,73737.36,860521.45,-1721.17,0.826,5,13,5,159,149,11,10,7,142,8,0,0,14,157,0,1010,0,79042.64,79042.64,0.0,0.0,0,73500.0,97,0,878251.5,2
18,9501684675,10,1,2024-01-05,0,12,21,1,0,7.966,0,7.966,0.0,3127.04,0.0,69372.96,0.0,0.0,70856.26,564440.97,70856.26,552625.0,-1483.3,0.826,5,13,5,260,226,11,10,8,217,9,0,0,14,20,0,1010,0,51978.15,51978.15,0.0,0.0,0,72500.0,0,0,577535.0,2
42,9501684742,10,1,2024-01-08,0,12,21,1,0,5.896,0,5.896,0.0,3007.12,0.0,69492.88,0.0,0.0,70856.26,417768.51,70856.26,409730.02,-1363.38,0.826,5,13,5,245,255,11,10,8,247,9,0,0,14,45,0,1010,0,38471.4,38471.4,0.0,0.0,0,72500.0,0,0,427460.0,2
48,9501684794,10,1,2024-01-09,0,12,21,1,0,24.915,0,24.915,0.0,503.19,5273.63,71996.81,0.0,0.0,70856.26,1765383.72,76129.89,1793800.52,-4133.08,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,162570.38,162570.38,0.0,0.0,0,72500.0,180,0,1806337.5,2
49,9501684796,10,1,2024-01-09,0,12,21,1,0,24.939,0,24.939,0.0,502.71,5273.63,71997.29,0.0,0.0,70856.26,1767084.27,76129.89,1795540.42,-4132.6,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,162726.98,162726.98,0.0,0.0,0,72500.0,180,0,1808077.5,2
50,9501684797,10,1,2024-01-09,0,12,21,1,0,24.867,0,24.867,0.0,504.16,5273.63,71995.84,0.0,0.0,70856.26,1761982.62,76129.89,1790320.55,-4134.05,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,162257.18,162257.18,0.0,0.0,0,72500.0,180,0,1802857.5,2
52,9501684828,10,1,2024-01-10,0,12,21,1,0,37.288,0,37.288,0.0,404.74,5273.63,72095.26,0.0,0.0,70856.26,2642088.22,76129.89,2688288.05,-4034.63,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,243304.2,243304.2,0.0,0.0,0,72500.0,180,0,2703379.9999999995,2
53,9501684829,10,1,2024-01-10,0,12,21,1,0,37.276,0,37.276,0.0,404.74,5273.63,72095.26,0.0,0.0,70856.26,2641237.95,76129.89,2687422.91,-4034.63,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,243225.9,243225.9,0.0,0.0,0,72500.0,180,0,2702510.0000000005,2
60,9501684850,10,1,2024-01-10,0,12,21,1,0,29.855,0,29.855,0.0,908.59,2636.82,71591.41,0.0,0.0,70856.26,2115413.64,73493.08,2137361.55,-1901.67,0.826,5,13,5,19,4,11,10,7,4,8,0,0,14,157,0,1010,0,194803.88,194803.88,0.0,0.0,0,72500.0,90,0,2164487.5,2
